pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
705,18.3,6.8,0.325,0.307,30.1,6.9,32.8,77.650030909,93.507853123,20.2,47.8
741,25.6,5.9,0.268,0.293,37.3,9.8,40.6,80.393226331,94.253239919,26.7,52.7
726,33.5,5.6,0.276,0.274,33.0,9.8,38.6,77.565526758,94.105607466,31.9,48.9
866,17.0,6.5,0.311,0.311,31.5,4.9,35.2,77.912445506,93.493739367,18.0,47.7
248,23.8,6.9,0.32,0.318,34.3,7.1,36.7,78.485395366,93.790261524,29.6,45.0
534,19.5,5.8,0.331,0.343,34.7,10.6,39.0,78.973263622,94.487751049,19.8,48.4
731,25.7,5.7,0.305,0.308,34.8,7.9,36.0,79.742936708,93.732759521,27.2,51.5
720,19.4,8.5,0.311,0.307,29.0,4.3,32.5,76.949157521,93.08191824,22.8,44.6
808,24.8,7.1,0.287,0.32,30.9,8.0,45.6,81.844590865,95.101299868,26.7,47.2
561,18.5,9.6,0.36,0.356,35.5,7.8,35.5,77.08827198,93.719873756,21.1,47.9
154,23.4,11.0,0.38,0.344,45.0,6.0,38.0,76.8927192,94.1626739,27.3,47.7
694,27.1,7.3,0.322,0.292,34.1,7.8,34.9,79.07837838,93.549015058,27.2,48.1
171,19.9,7.0,0.336,0.316,27.0,4.1,49.2,82.387648689,95.110284628,25.7,45.2
828,23.6,6.0,0.294,0.297,34.5,5.3,32.4,75.98017,93.070746151,23.0,50.9
190,22.6,5.8,0.358,0.364,41.8,10.4,38.8,78.012764776,94.478611418,24.9,48.8
159,24.5,7.5,0.262,0.326,35.2,7.6,43.8,76.190096415,93.83150619,24.2,42.5
639,20.7,11.1,0.361,0.332,34.7,7.7,38.5,77.103488815,93.79839827,25.1,47.5
805,19.0,4.8,0.279,0.306,35.1,6.9,36.0,76.747856744,93.485106739,18.5,48.9
756,23.3,8.5,0.303,0.31,32.5,5.3,39.3,78.131276787,94.098144266,27.0,47.8
240,24.6,7.5,0.278,0.276,31.1,4.3,32.3,73.64785675,92.8843835,26.2,50.7
776,19.7,10.1,0.305,0.315,32.3,5.8,27.5,75.979605172,92.614986169,22.5,44.9
648,21.0,8.2,0.347,0.354,39.7,7.3,33.6,77.636625,93.393625241,22.8,49.2
671,17.1,7.3,0.323,0.335,30.0,6.4,36.8,78.575125172,94.253213513,20.7,47.9
665,32.8,10.7,0.282,0.297,31.5,6.2,41.0,79.748876264,94.264737912,34.2,44.7
539,20.2,5.8,0.308,0.325,33.0,7.6,35.8,77.560782051,93.826673462,22.1,49.1
525,12.2,7.0,0.327,0.347,26.6,4.8,34.1,80.680145132,94.146908571,18.6,47.2
884,14.3,6.9,0.307,0.314,32.7,4.4,30.5,77.444821923,92.707226701,19.5,49.4
582,16.3,6.4,0.355,0.351,36.4,7.9,40.9,78.820426091,94.314553841,18.9,48.0
230,30.9,7.8,0.287,0.313,38.2,10.3,34.6,73.058888806,93.584681353,32.2,45.6
797,30.5,6.4,0.267,0.273,31.6,5.7,34.1,75.64792823,93.404000041,35.2,46.2
777,34.1,4.6,0.24,0.248,33.8,5.3,29.2,73.482502112,92.579947586,33.6,49.1
557,25.1,6.1,0.303,0.286,34.9,4.8,28.4,75.376650984,92.508379754,27.0,48.1
511,22.9,4.7,0.306,0.28,30.6,4.1,41.2,80.577407377,94.37797112,25.5,49.8
633,29.4,8.7,0.31,0.291,35.1,7.4,38.5,78.768392552,93.979846684,30.7,49.9
742,24.7,7.0,0.332,0.307,31.9,5.8,37.9,79.780287358,93.996075703,28.8,45.9
159,27.7,9.4,0.264,0.286,33.7,9.2,41.8,80.117989796,94.003738061,32.0,45.3
213,21.6,8.0,0.313,0.328,37.2,8.8,35.1,80.637716027,93.78769226,25.9,47.1
626,22.7,7.3,0.301,0.291,33.3,4.3,31.1,74.125082824,92.893389398,22.1,47.7
521,25.7,7.5,0.292,0.295,34.8,6.1,38.0,76.503695765,93.824895221,25.9,48.9
693,26.6,7.1,0.293,0.279,33.4,5.0,31.0,74.156470132,92.633089342,26.1,45.2
708,29.8,6.1,0.252,0.279,36.0,5.8,32.7,73.412163318,93.487917153,28.2,51.1
536,20.7,3.7,0.268,0.293,34.7,9.2,37.2,78.1802297,93.892214687,23.5,51.5
733,18.8,9.7,0.313,0.322,33.1,6.8,40.9,77.901900078,94.417705363,20.5,44.1
527,26.9,9.5,0.289,0.299,32.0,8.2,35.1,79.013770491,93.829788558,31.3,45.5
648,21.5,9.0,0.379,0.358,35.7,7.8,39.5,78.560234136,94.179600432,21.0,42.8
660,20.9,7.4,0.33,0.304,32.4,6.1,31.1,77.301990348,92.957795348,23.0,45.5
626,16.6,12.0,0.388,0.383,37.9,8.2,39.5,77.431320642,94.022564736,18.8,41.2
651,14.4,2.5,0.347,0.365,37.1,7.6,40.6,79.80834891,94.020705808,12.4,51.4
911,23.7,5.6,0.254,0.264,25.2,3.3,28.0,74.698599397,92.432825698,25.0,44.5
890,33.8,4.7,0.231,0.228,29.0,3.3,24.4,75.253223876,92.038684524,32.5,51.4
617,18.6,9.7,0.356,0.357,34.6,8.5,47.8,80.140899724,95.493330023,22.4,48.9
724,18.5,5.8,0.342,0.332,35.5,6.1,39.2,79.698250602,94.093293835,21.5,45.9
548,12.6,6.0,0.346,0.337,29.5,5.0,30.0,76.709887206,92.813471867,14.5,44.3
168,26.2,8.9,0.318,0.319,39.8,8.3,43.5,78.199123148,94.373298981,29.4,48.3
531,20.3,9.6,0.365,0.337,35.0,7.9,32.7,76.968297809,93.238116761,24.6,47.2
869,26.9,4.5,0.266,0.277,31.1,4.8,30.1,77.451582296,92.840258905,26.8,50.5
238,38.2,9.2,0.289,0.274,32.0,8.8,42.4,80.449045323,94.735060081,32.6,46.5
758,21.6,5.7,0.331,0.323,34.5,8.6,35.6,78.301945,93.595588475,22.0,46.9
652,19.6,11.3,0.318,0.332,38.0,7.0,35.1,76.334476941,93.456079153,27.7,46.6
744,24.1,7.4,0.272,0.278,32.9,4.8,27.1,75.422836173,92.398570412,24.5,49.2
262,20.6,5.7,0.277,0.324,33.0,6.3,36.6,75.684768404,93.58274617,24.1,46.0
533,20.1,6.4,0.307,0.336,34.4,7.8,47.8,81.658119741,95.361877073,24.2,46.1
826,21.5,7.4,0.333,0.32,30.1,6.7,35.6,76.167283693,93.879800506,25.3,47.0
265,15.8,6.4,0.333,0.363,34.0,12.3,38.9,77.820627228,94.226303762,18.1,44.3
645,23.6,6.4,0.327,0.313,35.2,7.0,39.5,76.28136711,94.446088119,27.6,52.1
224,21.4,8.9,0.321,0.326,33.3,9.8,35.9,78.127005789,94.03656543,24.8,47.3
558,26.9,7.3,0.341,0.318,33.8,9.4,40.8,78.778524327,94.070027126,28.2,48.7
629,18.9,10.2,0.345,0.34,37.6,8.2,32.3,75.818054326,93.084649767,27.8,49.7
245,17.6,7.3,0.383,0.354,37.6,9.4,37.6,78.450162111,93.882949553,23.4,47.6
509,15.5,6.3,0.356,0.358,37.6,7.7,43.8,80.680833316,94.94142239,17.8,47.8
835,32.2,5.5,0.23,0.243,32.2,4.1,28.9,75.417923083,92.619660514,31.0,52.5
668,23.4,3.1,0.322,0.287,31.6,5.7,34.2,77.499435588,93.150699895,25.7,51.0
745,20.5,8.6,0.33,0.329,32.1,6.5,39.2,78.292462056,93.845111434,19.0,42.4
543,16.8,6.6,0.315,0.319,31.3,5.3,29.2,76.225646548,92.906646514,19.9,45.0
759,27.7,8.4,0.308,0.298,34.1,6.5,34.3,77.107022328,93.357444017,28.4,45.2
617,16.5,9.2,0.337,0.323,28.7,6.6,41.4,78.15085467,94.3547437,21.5,48.8
707,19.5,4.8,0.271,0.275,34.2,4.9,28.5,73.22844707,92.353431738,24.2,52.7
785,16.7,4.6,0.33,0.341,34.0,6.5,36.8,79.549556807,93.808280474,17.9,50.5
586,16.6,6.1,0.355,0.349,37.2,9.2,43.0,78.83503621,94.822570228,18.3,47.4
686,21.1,4.7,0.311,0.311,37.8,5.4,35.0,78.18887644,93.497978357,21.0,48.4
627,26.3,8.5,0.285,0.294,28.7,6.4,38.7,76.414951701,93.824904742,30.5,44.8
814,17.0,7.2,0.332,0.33,31.1,5.6,34.9,78.376797424,93.557475874,21.2,45.1
672,15.2,7.6,0.309,0.339,37.0,7.2,33.3,78.729539363,93.381141876,17.3,43.7
784,25.5,8.4,0.266,0.285,31.0,5.3,32.4,74.856549488,92.974631594,28.7,46.3
755,24.4,8.3,0.302,0.29,28.2,4.6,33.6,76.67779789,92.909762474,24.0,47.4
800,30.8,6.0,0.265,0.283,31.1,5.8,35.6,77.787217137,93.521333354,34.3,47.6
235,30.6,11.1,0.275,0.304,37.0,3.7,32.6,75.730744328,92.969396343,29.5,40.0
516,25.2,8.3,0.347,0.335,34.1,10.2,40.1,81.149716975,94.589820741,25.7,49.5
666,24.5,9.3,0.325,0.346,37.4,11.0,47.0,81.841853023,95.503867744,27.7,48.5
839,23.7,5.1,0.286,0.303,35.4,6.4,33.5,77.487911633,93.216715877,25.9,45.3
247,23.5,4.5,0.286,0.279,34.3,4.6,37.7,78.332032209,93.884833547,23.4,49.5
552,30.1,8.9,0.28,0.278,31.4,7.0,29.1,74.895332166,92.59006262,28.1,45.5
617,38.4,5.5,0.237,0.233,31.9,7.5,26.8,74.146397669,92.528917117,34.9,48.2
702,24.6,6.7,0.315,0.297,32.4,4.4,39.1,78.499193718,94.017095085,25.7,47.4
563,20.8,3.6,0.273,0.291,35.3,7.0,26.2,73.485222732,92.216714694,22.3,49.6
807,19.5,6.8,0.326,0.335,33.4,7.6,44.5,78.377673356,94.787380789,25.3,45.6
668,20.2,7.9,0.353,0.324,31.2,6.1,35.2,78.454217112,93.401729287,21.6,46.7
288,32.6,5.9,0.279,0.274,32.0,9.1,44.6,79.873113372,94.802339591,34.2,49.6
703,19.1,5.4,0.319,0.315,35.7,8.5,33.0,75.112696758,93.471536654,23.1,54.2
621,23.0,7.7,0.284,0.31,31.4,7.5,38.5,76.990684623,94.247869548,23.8,47.8
240,36.7,10.0,0.239,0.273,31.2,7.2,34.4,75.489102222,93.25455616,34.7,45.0
192,22.9,5.7,0.315,0.319,30.6,9.0,44.8,81.378267761,94.944504627,26.7,51.3
680,30.9,7.9,0.291,0.284,32.3,8.6,37.7,75.952795517,93.704981926,33.6,47.8
510,19.0,5.9,0.256,0.279,23.4,3.7,30.5,76.664589278,93.122451167,20.1,48.5
546,16.1,8.6,0.374,0.355,33.6,6.4,35.8,79.290416615,93.82981526,17.4,46.2
815,16.7,8.2,0.334,0.318,30.9,4.3,30.8,75.232212544,92.575979634,20.5,47.4
812,18.6,8.9,0.33,0.324,30.6,6.4,30.5,76.701951696,92.903528463,21.5,47.0
669,21.5,6.7,0.284,0.295,30.5,8.2,41.3,79.990406017,94.269512972,22.5,49.6
683,16.7,5.1,0.327,0.332,33.2,7.9,38.7,80.035492471,94.077225463,19.6,48.9
616,22.6,7.8,0.302,0.305,32.5,5.0,29.1,74.754791171,92.601706577,23.2,45.6
716,25.6,11.6,0.318,0.33,36.8,7.8,39.1,77.30793493,94.400073953,32.2,42.9
550,28.5,8.4,0.27,0.284,34.9,5.0,36.7,75.956438563,93.768583563,30.7,49.4
504,19.8,9.1,0.347,0.333,37.5,6.0,35.2,77.671561392,93.646203354,19.9,46.9
786,22.9,6.5,0.261,0.284,33.0,5.4,31.5,77.162472322,92.941560807,24.8,49.5
256,22.7,5.1,0.266,0.303,34.8,8.7,39.1,78.429371648,94.275628242,23.5,44.5
197,22.3,14.2,0.322,0.385,33.6,13.1,39.3,78.284208333,94.600981849,26.8,39.7
736,17.5,8.2,0.321,0.306,30.6,3.5,30.0,76.969609693,92.973761382,21.7,45.3
638,25.4,7.7,0.33,0.317,33.7,6.4,38.7,79.730301531,93.947308897,28.6,48.5
585,18.5,7.2,0.321,0.341,37.4,11.4,37.0,76.738034225,93.854091103,20.4,48.0
216,19.4,6.5,0.349,0.31,29.7,7.0,38.0,75.007615641,93.855288645,24.1,51.1
654,23.2,8.9,0.317,0.302,29.0,7.4,36.6,78.962315498,93.648047678,23.0,43.5
614,17.1,8.6,0.301,0.327,32.1,5.4,36.0,77.039547955,93.468307727,21.5,46.8
595,15.8,4.7,0.329,0.321,35.3,8.9,38.3,77.751138412,94.198384485,21.1,52.2
678,22.6,8.4,0.29,0.31,29.5,6.2,38.6,75.107633231,93.97063919,27.2,46.6
533,24.2,7.5,0.32,0.304,33.1,6.1,38.7,79.288082784,93.882256449,25.7,47.0
711,26.0,8.3,0.307,0.31,36.0,6.2,34.7,77.573562329,93.545400457,26.5,49.0
647,20.4,6.5,0.285,0.3,28.7,5.8,32.3,77.486104248,93.376363947,23.4,48.8
775,16.1,11.6,0.345,0.348,30.5,7.0,37.1,78.620984037,93.523389574,21.4,43.4
278,36.0,6.1,0.227,0.225,25.9,6.3,38.0,77.766438101,93.703112739,30.2,46.4
713,14.4,6.2,0.372,0.362,37.4,7.7,35.4,79.736894036,93.562504564,17.9,49.3
518,20.3,7.7,0.334,0.342,39.2,8.9,37.1,79.256158785,93.946026934,19.1,47.1
573,16.4,10.1,0.362,0.356,34.9,8.1,43.5,78.2401011,94.651932751,18.3,43.0
275,19.3,6.5,0.299,0.347,32.2,6.9,52.0,79.148097525,96.19126099,17.8,43.7
731,20.4,7.3,0.331,0.344,34.8,6.8,36.2,77.411569084,93.589858625,23.0,47.5
204,19.1,6.9,0.361,0.378,41.3,12.7,40.7,79.834825067,94.424558792,24.4,49.3
528,22.9,5.9,0.334,0.355,39.8,10.5,43.0,78.633480815,94.870366576,23.0,53.6
502,19.5,8.4,0.333,0.319,32.0,5.8,31.8,78.420381494,93.006613764,22.9,46.2
594,14.5,6.9,0.371,0.336,31.5,5.6,34.5,77.431217699,93.398032129,18.8,47.9
248,32.3,4.0,0.219,0.257,31.0,7.0,24.7,74.312775844,92.194825425,34.7,52.6
553,19.9,8.3,0.301,0.329,30.7,5.2,41.9,79.979090851,94.413775947,21.6,42.8
225,17.3,7.1,0.323,0.339,36.5,10.2,42.5,80.162239268,94.847098841,21.3,50.5
586,20.3,7.7,0.348,0.354,38.3,8.8,40.8,77.769452548,94.233176178,20.8,44.3
795,22.3,6.8,0.338,0.289,33.6,4.7,28.3,76.699155602,92.67386547,23.8,47.6
547,23.8,9.9,0.324,0.319,39.9,6.1,36.3,77.641504261,93.486585284,25.7,45.7
728,20.7,4.4,0.308,0.317,34.5,8.3,36.2,77.238196617,94.010264444,23.0,49.1
531,30.9,9.0,0.318,0.31,35.6,9.4,40.1,79.380686169,94.284722541,31.9,48.8
628,12.9,4.0,0.362,0.363,37.2,7.5,40.8,78.990581081,94.305538687,12.5,46.2
737,20.2,5.2,0.34,0.327,36.9,5.6,36.5,78.506975189,93.767292235,20.9,46.9
665,18.9,6.0,0.289,0.307,28.2,4.9,33.7,78.259464093,93.416894989,23.8,49.8
645,32.2,6.5,0.287,0.287,36.3,9.4,42.1,79.950562577,94.381203557,30.0,52.6
843,20.3,8.7,0.322,0.336,33.7,5.1,36.6,79.00118689,93.651211572,25.8,45.9
260,20.8,7.3,0.325,0.343,40.3,7.7,43.1,77.626897222,94.550886944,21.9,46.5
835,28.5,8.4,0.285,0.304,31.7,9.4,38.7,78.977153813,94.527443294,31.5,47.4
199,31.2,13.6,0.249,0.276,32.4,5.6,30.6,76.979116852,93.643054815,30.8,44.2
626,22.5,8.9,0.348,0.313,35.9,7.3,33.6,76.258119279,93.493708582,27.1,46.6
793,25.5,5.7,0.303,0.298,36.3,8.3,38.5,78.53543572,94.143390037,26.0,49.3
304,15.1,7.6,0.335,0.344,31.9,5.6,35.8,75.81297469,93.455217035,20.5,45.9
859,24.8,8.7,0.307,0.292,31.7,5.9,29.4,75.237237491,92.609035278,27.4,46.4
688,15.6,9.2,0.34,0.319,29.0,4.3,33.6,73.503644139,93.326657316,18.1,45.5
202,15.8,5.0,0.328,0.333,31.4,6.4,48.1,77.666151299,94.78777513,19.5,44.9
598,18.1,9.7,0.337,0.35,33.8,8.2,36.1,77.896427923,93.852384976,16.9,43.0
631,19.0,12.2,0.338,0.329,31.2,5.6,32.1,74.164853905,93.296800048,24.0,43.9
641,23.6,9.4,0.335,0.327,31.4,10.2,38.6,80.118188846,94.263143438,26.4,48.2
768,16.3,5.5,0.323,0.338,35.9,7.3,39.3,78.890512423,94.048238838,19.2,52.0
860,19.9,8.5,0.29,0.285,26.6,3.6,27.7,77.148635104,92.609204132,21.1,49.4
515,16.1,11.1,0.377,0.368,39.0,5.4,36.0,79.034154144,93.582942382,21.0,46.1
821,20.6,8.4,0.289,0.295,30.9,4.3,34.9,77.422939036,93.581278732,21.0,44.5
155,16.1,9.7,0.33,0.34,30.4,7.1,42.0,76.760998364,94.485197523,19.8,48.7
540,18.5,10.2,0.28,0.301,30.5,3.2,28.5,74.879156054,92.587995745,20.4,43.7
911,27.8,9.0,0.316,0.31,33.8,8.6,37.7,78.030029018,93.847217,29.3,45.3
599,24.4,9.2,0.321,0.312,31.0,8.1,41.3,80.158988095,94.055513148,23.9,47.4
621,23.3,9.0,0.307,0.317,32.3,7.0,37.3,78.089879158,94.03860901,22.5,44.7
765,20.0,9.4,0.302,0.307,29.1,5.7,28.4,75.784707597,92.380081553,20.1,42.6
246,27.6,4.9,0.22,0.245,30.1,4.3,28.8,71.765054815,92.668216543,23.2,47.7
578,16.3,10.4,0.349,0.356,34.1,7.1,35.1,77.176924783,93.774949153,20.6,44.3
757,18.0,11.4,0.316,0.337,31.4,6.8,38.8,78.019221192,94.329664942,23.6,44.2
661,15.9,7.0,0.36,0.331,29.6,5.8,40.6,80.097300643,94.081931308,19.3,46.3
842,23.2,6.1,0.3,0.304,34.2,6.5,32.0,76.182677621,92.899373483,23.3,49.1
525,16.2,11.6,0.349,0.331,33.6,5.3,35.7,79.09021973,93.510307425,17.5,41.0
196,20.9,10.7,0.285,0.328,38.6,7.6,39.4,78.586201231,94.199307,24.4,47.9
191,27.2,8.4,0.319,0.309,44.2,5.0,32.5,78.269397833,92.867144118,29.5,44.0
276,22.8,6.9,0.273,0.344,36.1,10.3,36.6,76.024619043,93.652096862,25.5,41.7
520,24.8,8.3,0.289,0.3,32.1,6.7,32.1,78.793357,93.212380354,24.5,43.5
803,23.9,9.3,0.318,0.293,28.7,4.5,36.9,76.302691128,93.565481809,28.7,49.3
759,19.6,5.3,0.314,0.316,33.1,6.2,37.9,78.778854255,93.819559787,23.2,50.4
546,17.6,8.2,0.34,0.327,34.8,4.3,33.8,75.321550918,93.09279867,17.8,44.3
218,21.1,9.2,0.264,0.293,30.7,6.7,38.0,77.790987162,93.961868503,17.2,44.0
704,12.2,9.1,0.304,0.33,32.3,3.9,32.3,75.696292841,93.277513974,14.9,44.7
532,17.3,5.8,0.359,0.343,38.5,7.8,39.0,78.812888571,94.094017679,22.1,47.1
634,21.1,10.3,0.32,0.31,28.2,4.6,31.3,74.956563147,93.148998223,26.3,48.1
723,22.5,3.3,0.263,0.281,32.5,4.7,30.8,75.101874845,93.046409264,24.7,49.7
548,19.9,7.7,0.36,0.361,34.6,11.9,40.6,79.984725648,94.63687557,21.4,44.8
506,19.4,7.1,0.326,0.308,36.1,3.0,31.0,77.69281142,92.927593182,18.8,48.2
815,26.0,6.4,0.255,0.272,29.2,6.8,37.1,76.924388075,93.913201664,26.3,49.2
833,34.8,4.4,0.259,0.237,31.1,6.2,32.7,78.75990849,93.215622592,31.6,51.2
809,18.5,7.8,0.336,0.312,28.9,6.1,32.8,78.727268997,93.193483692,24.5,48.9
627,16.4,8.0,0.36,0.332,37.6,9.3,33.3,77.053938069,92.948710987,23.2,48.6
605,19.0,11.2,0.353,0.343,29.5,7.6,42.2,78.709968488,94.604615941,21.8,44.5
509,21.8,9.0,0.334,0.327,31.4,7.8,41.0,79.161812105,94.57371783,23.6,45.4
694,29.1,11.1,0.282,0.304,31.5,6.8,40.6,77.901311034,94.284814148,29.7,45.2
701,20.4,5.3,0.313,0.322,33.7,8.5,41.6,78.898751797,94.364837227,22.6,47.5
190,16.8,8.4,0.351,0.359,35.5,7.8,38.3,77.831902899,94.159655145,18.9,41.3
714,23.5,7.6,0.328,0.303,32.5,4.5,35.0,79.012157074,93.430907969,23.5,46.3
573,24.6,7.3,0.321,0.302,33.0,6.8,38.2,77.260033579,93.949118786,25.0,46.4
816,17.6,9.6,0.329,0.342,30.2,7.8,38.4,79.682925276,94.09919715,22.0,44.4
764,21.6,6.8,0.344,0.337,37.1,7.4,34.7,78.141982472,93.604731689,21.0,45.7
791,25.0,4.6,0.269,0.292,32.4,7.2,43.1,79.516670909,94.359625491,29.7,49.7
778,14.8,8.0,0.34,0.331,34.2,4.5,35.7,76.519269522,93.25770971,15.6,40.5
567,18.5,10.2,0.35,0.365,37.0,9.1,42.6,78.869756548,94.663499746,23.3,44.9
580,21.9,9.7,0.316,0.312,34.9,6.4,34.7,78.384091047,93.359764724,26.3,49.0
573,20.8,6.5,0.326,0.321,34.0,9.0,36.7,79.438520545,93.811845112,22.5,48.2
237,18.6,8.9,0.311,0.315,32.9,7.1,40.6,78.523314588,94.685451538,19.7,45.5
194,20.1,7.7,0.398,0.381,38.3,10.5,38.3,79.77008791,93.515823835,28.1,47.8
238,23.5,9.7,0.33,0.32,30.4,8.9,34.2,78.665578571,93.665709221,27.1,45.1
644,26.1,9.3,0.321,0.327,37.2,6.2,41.4,79.273350299,94.457081521,27.1,48.8
785,18.3,10.1,0.332,0.353,33.0,9.3,39.3,79.385412198,94.190346703,19.8,46.2
182,25.3,7.7,0.285,0.302,31.1,10.7,39.3,80.9885495,94.62717625,31.7,49.6
199,26.1,3.5,0.336,0.314,31.6,8.8,39.7,80.262470152,94.391919924,28.1,53.3
637,19.6,11.3,0.337,0.318,29.1,5.0,32.3,78.801353803,93.088461174,21.4,42.0
503,25.4,5.6,0.305,0.31,36.4,8.8,44.6,79.708084675,94.684913828,27.1,50.9
225,23.6,8.9,0.319,0.304,30.5,4.6,35.8,75.814884054,93.566306824,27.6,46.8
841,29.8,6.7,0.265,0.267,29.8,6.1,33.8,77.367434479,93.302916673,30.5,47.7
231,21.2,8.2,0.312,0.323,32.7,8.8,42.1,79.335478,94.607972579,22.7,47.8
